epoch,train_loss,val_loss
0,2.7670383608359654,2.372529483515575
1,2.2584310380668957,2.23326591426028
2,2.1392454744142704,2.180072268274417
3,2.0715627282394293,2.153147879027689
4,2.0252466819124204,2.1298955123182868
5,1.9909115510548645,2.111740401267719
6,1.9643625154627389,2.100442873489841
7,1.9432701184406131,2.0934473151057804
8,1.9264752467059472,2.082313906205039
9,1.9147604467250703,2.081974876457117
