epoch,train_loss
0,5.163586718211369
1,3.6193050653293923
2,3.3705306667527157
3,3.2282648852107925
4,3.130235026775053
5,3.0563629985546217
6,2.998671191084589
7,2.9542520572281417
8,2.924473572474231
9,2.9079688457796
